from,to
4667,7875
4850,8018
1279,1615
5017,7198
6717,8768
3919,4134
4297,6771
2825,3954
3683,5060
5445,8463
5039,5492
4141,4459
1375,2777
5467,5653
7210,7875
4250,4976
4221,5078
2058,8330
2335,5729
5621,5976
1539,5176
5681,8185
2721,7156
3282,4929
2897,3183
3086,4160
6395,7982
5761,5979
5410,5574
5467,6780
1771,4578
3313,5643
4367,4818
6059,7027
1524,5498
4525,5578
3212,7329
2328,3560
9539,9690
3490,6173
5957,7385
4293,6307
306,6488
3628,5887
5499,9235
3483,4065
4543,5244
2968,4258
4021,5179
6451,8342
4945,6092
2221,7887
4311,7443
2169,4550
3266,4171
3298,5769
2714,2799
4862,6273
5064,6997
5911,6542
2279,3334
4244,7170
4775,4998
4547,5243
4389,4445
4727,5299
204,2677
4026,6638
5634,6742
3395,4229
2895,8238
4274,6284
1650,6889
5183,7187
2243,3900
3890,5435
3272,3340
5117,7078
4017,4352
4833,6306
5040,5727
5089,5908
5651,5784
4101,5591
1829,3438
4459,7228
4073,4143
2871,5947
1632,4080
3741,4683
1830,5234
1753,2228
4863,5018
708,2984
5379,6470
2661,6285
4918,7938
3950,6664
5709,6885
4962,5972
4445,5351
4213,4887
5607,6567
7285,8024
2968,6134
5334,5852
3298,3399
4668,8740
3838,4731
4983,5288
2930,3030
4532,5595
6929,7910
4920,7458
1038,7935
4258,6869
2847,3651
4622,7320
1702,4862
4656,5718
2758,5258
4742,5643
3464,3695
3877,5275
2897,5201
4448,4687
5135,5274
1397,4279
4521,6514
2874,4197
7026,7378
5476,6952
4502,5699
5016,5722
7802,9374
2049,3290
3897,5728
3199,3302
4621,4764
5150,5815
6228,6836
4383,6590
4347,4502
6800,7694
2070,4355
3610,4656
4370,4909
5568,9174
3353,4799
2979,3466
4033,4390
2470,3338
1914,8049
1158,2815
4268,4871
1515,2575
6458,6944
2972,4045
6253,7356
4205,5271
5090,7051
4337,7286
1998,3323
5128,8029
4861,5905
4512,6613
4574,4635
4066,4149
3158,9736
4859,5774
6095,6401
3307,7118
5035,5216
4772,5046
5439,6933
8063,8199
688,2086
2517,7893
4266,4905
5415,6776
2090,4355
4009,4050
4186,7516
4561,6207
4644,8479
4922,5326
3597,6306
7222,9262
1388,6796
3704,6147
1233,4856
2091,2346
8594,8655
5680,5738
3228,5756
2664,3231
3668,5911
5291,7443
3644,5781
5696,6021
5007,6801
4319,6936
4294,7978
5422,5607
5071,7061
6684,7673
6995,8329
2850,4743
5777,7975
1661,2599
4100,7186
4294,5025
2329,3134
4853,5519
1657,3363
1840,5865
3003,4470
6757,7191
2760,7217
4947,5496
4596,6555
4844,8357
3588,4326
6575,7363
2206,5308
4635,4895
3946,5158
1763,2624
6450,7298
3226,5911
4648,4854
5139,5187
3234,4873
