from,to
2783,5516
2110,4377
3362,4752
8179,9420
5805,6763
1931,2591
3221,3555
789,1375
3295,4548
4459,5697
1071,7347
1060,4813
4838,5545
2457,2678
3689,8044
2608,3891
4293,6275
725,1352
2600,4670
5293,7064
4175,7537
2801,4440
416,2159
1468,2617
2928,4821
2288,3228
3034,5556
532,2152
2096,2308
1434,7478
6158,7763
5963,6254
1929,2152
2818,6219
971,1279
1517,2099
2079,2427
2481,3162
1844,2648
1271,3472
1643,2351
2408,8840
2998,6398
1533,3101
2979,3384
995,1500
2115,4562
5632,5833
1546,3195
2194,3116
4575,8152
4044,6828
3261,3607
2317,6294
6827,7497
1993,3062
2083,2325
3579,6137
2311,3282
3418,3930
3889,7135
1137,1744
4531,5531
1629,2539
2161,2954
5274,6881
583,3914
1968,3248
3372,4011
3580,5599
3286,4587
3647,3657
1489,2925
2356,2522
1715,1798
3412,5786
3370,4763
1495,2711
3266,5147
3347,6400
2452,2932
2047,5260
926,1889
3908,6867
4664,4781
1800,2922
2414,4171
1974,2375
4293,8025
1971,2599
4322,5112
1374,1639
3976,4757
2295,5672
2441,5547
5924,5990
4045,4279
2179,2953
2814,6545
3881,4756
1773,3295
1802,3566
1695,2446
4974,6773
2741,6967
1661,1817
2738,2853
510,2514
2122,2344
740,4864
6026,6607
5025,6787
1144,4823
4037,5445
2018,9336
1063,2527
2359,5489
5967,7578
3277,4492
2824,4507
1552,1671
2672,3218
2680,2905
2437,5272
1772,2437
1997,4058
1700,2802
2816,3099
545,880
2895,3868
1555,4617
2149,2183
2030,2083
2097,2137
3917,5059
1986,4587
4358,5137
3322,4011
1424,4943
3413,4969
3629,4702
5214,6039
3284,3700
3197,4366
384,3174
2571,2801
899,5973
1416,6601
4222,4316
2266,4465
5720,7393
3834,4091
1933,4077
1177,1426
3111,3255
2676,2817
4795,7873
651,1210
209,4010
3111,3952
2593,3500
394,2173
1895,5154
4053,4951
1483,2455
2624,2790
5344,8298
3853,4957
852,2662
3165,4285
5290,5645
2011,2136
2955,5075
4947,7543
3793,6051
2021,4795
1657,1968
1455,1839
5433,5734
1616,3751
3212,4334
1708,3345
1388,7868
2478,2959
1639,2299
2037,2110
2709,2961
1223,1315
1491,2788
2959,3836
1885,2188
2829,3740
2535,2948
2859,2944
1928,4268
1353,2583
1780,3471
3084,3358
1614,4930
3631,6908
1065,3030
5135,8043
1218,3784
1745,1850
896,5383
1791,2308
3171,3341
1587,4722
1985,5769
1382,2891
4031,5571
2986,3775
2487,7602
1382,3636
2595,7342
506,2764
2318,6911
2988,3493
2353,5439
2620,4222
754,2646
2693,3431
1447,2257
5574,5994
1957,2276
4025,5027
1879,8686
2361,4011
1110,1281
1786,4295
2022,2119
781,1549
1215,3612
2621,4491
742,4434
4379,4681
1072,2045
6921,7905
2540,3741
2266,2576
2506,9240
3973,4514
5535,9056
1616,2174
4127,7017
3203,3822
2216,2267
3185,5736
2396,5738
2381,2933
2383,2486
2397,7361
1582,4535
3061,4452
644,1367
2957,5196
4420,7552
1939,2991
1483,5800
919,1607
756,3650
4910,6653
3168,6075
1071,1921
1565,3076
1072,2617
4987,5541
4850,7643
3284,3936
2318,3396
3258,3426
159,2442
2223,4298
1728,1966
3155,3566
2166,2344
3297,3534
4984,7894
1966,2584
7731,7895
623,2923
7021,8098
2591,8811
1841,3195
4733,4954
2764,5937
2131,4238
2349,7242
2081,3421
3570,3957
993,1052
2070,2813
1275,4761
2966,7451
2655,2993
1794,2323
982,4391
1432,6549
4131,8838
3651,5585
2714,2806
32,1650
2105,2383
698,1003
1806,4050
1680,1864
1422,4418
4993,5473
6946,8651
3235,3933
1975,5500
1804,1894
1949,2159
2415,3214
6046,6310
7219,8214
3115,3874
4436,4802
2000,2030
4066,7183
825,2762
1907,2430
1190,5415
602,2338
2642,2994
3366,3615
2623,5759
2272,3196
2001,2395
1240,5954
1467,3174
2377,2513
2148,4024
1427,2758
2122,4978
863,2361
3754,4190
2851,8053
1488,2377
2952,3065
3575,4585
1505,2282
3616,4814
3780,4032
926,3045
2101,3613
1181,1747
1631,2210
372,609
2608,2761
5201,5964
4559,5324
2505,5776
3022,8244
4994,6240
2730,4486
1592,9430
6026,7759
1423,2096
3147,6166
2447,2751
1236,2347
487,726
1503,8282
1496,4466
2779,2871
7056,7555
3429,5449
3348,7204
1819,2105
1028,9045
3598,5228
2177,2583
1239,3136
1110,5143
2149,4125
3204,3674
2577,7032
907,1003
2280,3949
3015,5457
4346,4891
2841,5037
1761,2654
2317,2330
2511,3034
5311,6340
2071,8263
1144,8882
435,2090
2142,2835
5599,6118
1953,2006
799,4026
826,2436
807,1521
1846,2937
391,2744
3193,4372
4416,7639
2023,5303
8125,8962
4656,5221
5218,8065
835,3038
4537,5660
3475,6936
1323,5672
2124,5030
1481,1869
3662,4724
723,2729
3453,3739
3253,4253
2657,3736
2010,2361
3993,4664
5407,6791
2093,8834
4306,5883
2959,4143
2632,3840
3590,7393
643,2213
1715,5353
359,3858
1171,2595
2308,4435
718,1000
1343,2765
1049,1835
3377,5810
2296,2898
1500,4949
2570,3422
1983,5678
1050,8849
5793,6057
5524,6403
1686,4315
2971,3281
362,956
2458,2465
2330,4503
2758,5483
1799,6970
4672,4767
3234,3983
4256,4830
3104,8093
3263,4559
857,1655
1806,2828
2763,4237
2213,3135
1812,2899
2400,2559
3593,4371
2121,2913
3532,5192
1755,5955
1569,8131
1529,1966
4549,5430
308,6045
3064,8136
3698,4682
1876,5874
2485,5287
2169,8312
783,3862
1738,4226
2004,2432
2795,5660
2351,3511
4593,4772
4015,6974
1655,2016
1468,5221
1838,1912
2386,3488
1208,3161
1173,1275
3284,6046
889,2232
2268,8281
1945,4312
3465,3535
3629,4396
2814,5322
2030,2151
3475,5544
2549,7025
2349,2882
1439,2031
2840,3262
3099,8385
1215,2060
942,1459
1531,2435
2030,2095
7131,7393
2072,2815
1018,2619
5001,8441
2098,5398
2530,5892
1974,4134
3227,5508
1742,5508
2325,5812
1370,5220
4111,7403
3561,6178
3786,5439
3295,4075
1302,1586
1755,2379
1826,6868
1534,2173
1397,2577
2257,2352
2465,3107
5449,9381
4897,6971
4236,5070
1746,1995
6519,8638
2021,2225
2051,2398
2599,4372
2289,2690
2874,5230
1814,3000
3541,3888
1700,3448
1206,2960
2394,3879
4306,4815
1414,2522
2309,3624
459,3589
1138,1829
1921,2355
1305,1544
3261,7559
4327,5022
1647,3095
4240,7259
1764,3016
2365,4360
3952,6237
4477,7168
1157,2139
4007,5209
954,3024
1693,1847
600,1882
1772,2588
2485,5302
2638,4256
3540,5250
3135,5740
1180,4251
3338,5446
3790,4478
4875,7261
966,1292
2887,4506
2096,4068
1512,1806
2007,2075
2398,2658
2808,6586
1421,2016
2875,6763
2174,3708
1874,3882
608,6816
1857,2401
187,7168
1917,2226
5352,7177
2685,3055
4284,9316
931,1545
1307,1884
386,4978
3109,7197
2739,8662
1110,6507
1509,1720
2357,2931
3916,9634
1849,1860
1002,9000
1510,4590
2642,3165
7078,8047
2188,2523
2313,2474
325,3891
996,2122
5976,6279
2142,6844
81,1735
1074,3161
1260,2333
3223,3481
2115,2375
2616,3342
2322,2826
1149,3619
784,1940
3104,7335
1971,2351
1707,2123
2014,3274
2810,5958
3679,7610
6498,9704
1766,2984
3840,4738
1439,2729
1131,2318
6336,7578
3607,3976
1844,1986
3812,8428
3355,4966
506,2542
5089,5911
1737,2518
1659,4587
1321,2260
2044,2693
4831,5564
1931,5597
3609,7314
3421,5547
2913,6887
750,4759
1700,2630
1884,2189
1696,2694
7356,9487
5520,6217
2032,2460
4868,7015
2824,5140
1940,2511
1951,2067
666,2209
3145,7689
4941,7527
3689,7998
3459,4378
2146,3099
2051,2510
3490,4737
2068,2373
1803,3507
2144,3180
1361,1846
2148,3059
3534,5875
4400,7763
1222,2777
3019,3890
3147,3915
2536,5085
926,1579
2618,2757
2656,4016
1486,2171
1478,1729
3652,7219
1957,1970
2341,3920
6098,7085
7075,8807
3878,4400
1331,2898
786,2946
1465,2749
1720,4785
6007,6904
2936,5745
3718,6139
1861,2100
1274,2594
2944,6933
4386,7557
1701,1974
2407,6087
1408,3188
1480,2286
6097,6578
1503,3644
3288,5230
1699,2688
3977,4201
2712,7085
4146,6557
3528,6834
4334,5062
2011,3546
4448,5240
1773,7742
1212,2293
3105,7912
2379,3350
1440,2338
1745,4552
3062,3488
2864,3636
1651,2463
6456,7003
3358,4584
1267,2360
1153,1934
1962,2272
1522,2783
5756,5769
1974,2932
2233,8423
1690,4163
1840,1854
5177,6215
1009,6843
213,4055
6163,7174
1932,2921
1717,4824
2026,6374
1107,1863
2336,2878
470,3147
2403,3887
1488,2658
1092,1427
388,456
1883,3177
3719,7549
3691,7649
1666,1690
1800,1994
5553,5917
1064,3703
3030,3129
3336,3754
1630,3205
2645,3021
2003,2213
2227,3188
5238,7538
2406,8676
2314,8695
2111,2240
2032,2141
2555,7964
2081,2255
3471,5434
5241,8272
2534,2686
2156,2161
1572,1916
5418,5817
1412,4457
2791,4278
3626,8028
1588,1633
1922,4002
1381,2578
1207,4450
4503,4812
4569,6257
4913,7867
5761,7167
2268,6405
1851,3048
1814,2206
3475,4456
1076,2514
5582,9271
2680,2757
2635,3738
3174,4204
2274,2302
5158,5592
2607,2647
3361,7719
3020,3992
2204,4457
